RteUid,RsgUid,txtDesig,txtLocDesig,DpnUidSta,NdbUidSta,VorUidSta,DpnUidEnd,NdbUidEnd,VorUidEnd,codeIdSta,geoLatSta,geoLongSta,codeIdEnd,geoLatEnd,geoLongEnd,valMagTrack,newvalMagTrack,valReversMagTrack,newvalReverseMagTrack,valLen,newValLen
412070,412091,UT475,DN-FE,412067,,,,,324200,ANIPA,4.819166666666667,17.47472222222222,MPK,4.3782499999999995,18.524833333333333,112.0,111.0,292.0,291.0,68,68
413374,413390,UB623,GO-GO,413379,,,413382,,,MOGNI,8.558333333333334,-26.845,IRAKU,6.859999999999999,-27.621666666666666,218.0,217.0,38.0,37.0,111,111
413866,413887,UL435,FA/KZ,413868,,,413871,,,IRELA,14.0,-37.43333333333333,POKSI,11.851111111111111,-34.38388888888889,141.0,140.0,321.0,320.0,220,220
413866,413889,UL435,FA/KZ,413871,,,413874,,,POKSI,11.851111111111111,-34.38388888888889,PINRU,9.660947222222223,-31.370525,141.0,140.0,321.0,320.0,221,221
413866,413903,UL435,FA/KZ,413880,,,413883,,,GAKAS,6.435555555555556,-27.06222222222222,BUVUK,5.5,-25.833333333333332,141.0,140.0,321.0,320.0,92,92
415386,415388,UN741,GO-GO,415377,,,415380,,,KEPAS,14.806111111111111,-28.477777777777778,SAGRO,10.583333333333334,-30.863333333333333,222.0,221.0,42.0,41.0,286,288
415386,415390,UN741,GO-GO,415380,,,413874,,,SAGRO,10.583333333333334,-30.863333333333333,PINRU,9.660947222222223,-31.370525,223.0,222.0,43.0,42.0,63,63
415386,415392,UN741,GO-GO,413874,,,415383,,,PINRU,9.660947222222223,-31.370525,NANIK,6.341666666666667,-33.17166666666667,224.0,223.0,44.0,43.0,225,225
415483,483730,UN857,GO-GO,415460,,,415469,,,BOTNO,13.5,-23.241666666666667,DELAX,8.336666666666668,-26.051666666666666,220.0,219.0,40.0,39.0,350,350
415483,483732,UN857,GO-GO,415469,,,413880,,,DELAX,8.336666666666668,-26.051666666666666,GAKAS,6.435555555555556,-27.06222222222222,222.0,221.0,42.0,41.0,129,129
415483,483734,UN857,GO-GO,413880,,,415478,,,GAKAS,6.435555555555556,-27.06222222222222,ERETU,3.1283333333333334,-28.8,223.0,222.0,43.0,42.0,223,223
415563,483757,UN866,GO-GO,415542,,,415551,,,AMDOL,14.353333333333333,-26.358333333333334,NELTO,9.795,-29.031666666666666,43.0,222.0,223.0,42.0,314,314
